contest_id,user_id,team_id,fee_paid,final_position
1941,2546,614,800.0,16
1942,2547,476,400.0,94
1943,2548,93,800.0,62
1944,2549,408,800.0,54
1945,2550,490,400.0,35
1946,2551,394,100.0,68
1947,2552,734,3200.0,49
1948,2553,25,6400.0,59
1949,2554,751,50.0,3
1950,2555,229,400.0,45
1951,2556,726,3200.0,39
1952,2557,580,100.0,89
1953,2558,277,200.0,10
1954,2559,924,1600.0,47
1955,2560,271,100.0,71
1956,2561,196,200.0,40
1957,2562,788,200.0,57
1958,2563,60,25.0,49
1959,2564,183,800.0,63
1960,2565,404,25.0,16
1961,2566,786,400.0,81
1962,2567,528,50.0,80
1963,2568,113,100.0,9
1964,2569,589,100.0,40
1965,2570,506,50.0,0
1966,2571,190,800.0,95
1967,2572,542,800.0,57
1968,2573,198,100.0,66
1969,2574,812,400.0,9
1970,2575,960,3200.0,32
1971,2576,174,1600.0,6
1972,2577,10,1600.0,37
1973,2578,304,25.0,50
1974,2579,736,1600.0,6
1975,2580,871,50.0,13
1976,2581,50,400.0,58
1977,2582,649,200.0,68
1978,2583,86,3200.0,66
1979,2584,985,50.0,35
1980,2585,18,50.0,9
1981,2586,146,3200.0,37
1982,2587,937,1600.0,16
1983,2588,367,400.0,56
1984,2589,743,200.0,63
1985,2590,980,25.0,90
1986,2591,580,25.0,25
1987,2592,355,50.0,99
1988,2593,939,1600.0,8
1989,2594,90,800.0,64
1990,2595,717,25.0,2
1890,1995,624,200.0,86
1891,1996,306,400.0,70
1892,1997,917,200.0,77
1893,1998,350,50.0,99
1894,1999,18,400.0,60
1895,2000,367,6400.0,99
1896,2001,446,200.0,3
1897,2002,620,200.0,5
1898,2003,980,25.0,44
1899,2004,358,200.0,24
1900,2005,275,3200.0,85
1901,2006,757,200.0,51
1902,2007,778,800.0,29
1903,2008,841,1600.0,61
1904,2009,11,800.0,97
1905,2010,310,800.0,58
1906,2011,131,1600.0,34
1907,2012,857,1600.0,81
1908,2013,969,1600.0,22
1909,2014,573,50.0,74
1910,2015,157,25.0,67
1911,2016,653,100.0,35
1912,2017,253,800.0,94
1913,2018,748,3200.0,78
1914,2019,990,800.0,5
