user_id,uuid,amount,instrument_type,instrument,net_amount,discount_points,tx_init_timestamp,tx_end_timestamp
1100,424fa0ed-d1c1-42e1-9e72-6ad9b50076b9,3461.0,debit_card,SBI debit card,2491.92,970.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1101,3622c0d5-1380-45d9-9c1e-14fb7e291e44,347.0,net_banking,YES BANK,249.84,98.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1102,1c26a1a6-9493-43ca-9198-599e4b298afd,2139.0,upi,HDFC,1540.08,599.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1103,36db3938-a89a-4309-be32-b86d12cee73a,707.0,credit_card,STATE BANK OF INDIA,509.04,198.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1104,3bf78133-e243-46eb-9b92-e01b3e491165,3479.0,debit_card,HDFC master card,2504.88,975.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1105,75f1a4e6-e826-4129-82d9-ea99de8f2f12,1241.0,upi,ICICI,893.52,348.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1106,92134d04-35b6-4251-be37-e18082378e77,2838.0,credit_card,SBI debit card,2043.36,795.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1107,998bce64-ab09-452f-b87f-96e458342264,306.0,upi,PayTM,220.32,86.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1108,49d75901-7c96-4b6c-8f26-5f9591704451,3471.0,upi,HDFC master card,2499.12,972.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1109,87f52f09-8289-42d8-83d6-5f0d1c6dde17,510.0,net_banking,CANARA BANK,367.2,143.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1110,967159d0-9f76-42f6-8c89-90558931533d,1880.0,wallet,SBI debit card,1353.6,527.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1111,e32d8f4b-64c9-491b-95d8-5f93452c475e,3222.0,upi,Google Pay,2319.84,903.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1112,1b014d01-86ba-48ce-84bd-a080fff5ee89,1324.0,credit_card,CANARA BANK,953.28,371.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1113,94946de6-c577-4d21-b7d2-da31b55b503f,331.0,net_banking,YES BANK,238.32,93.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1114,006fea08-d2bc-4ffc-9ccc-90c76c8061a3,863.0,upi,HDFC,621.36,242.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1115,01834a79-a73f-4e87-ad5d-6c2864bdaceb,1890.0,credit_card,ICICI debit card,1360.8,530.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1116,3ed791df-6df5-4f5c-a321-202f335e2db5,2830.0,credit_card,CANARA BANK,2037.6,793.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1117,55d21972-b6df-4b15-b463-dc2a179aa581,1237.0,upi,SBI debit card,890.64,347.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1118,0715af4a-9ac5-4210-9772-624e4c9a2016,2922.0,wallet,ICICI,2103.84,819.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1119,b6f1e7e5-67f1-41d9-b186-faf4ea39783a,2363.0,wallet,STATE BANK OF INDIA,1701.36,662.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1120,1780b12f-ec6f-428f-8d1d-d5bf24a71767,656.0,net_banking,BANK OF BARODA,472.32,184.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1121,8ba85c17-0585-4bea-9c20-10110c302817,2387.0,upi,ICICI,1718.64,669.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1122,cb32990a-4cff-40bc-960b-5b2e0ece5962,2094.0,upi,ICICI,1507.68,587.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1123,1e0ec4de-0885-4f1d-a4e4-9d8d140126ed,2504.0,credit_card,IDBI,1802.88,702.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1124,3596d0d6-4b59-44d9-8df2-8e60bd4b0074,69.0,upi,ICICI debit card,49.68,20.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1125,8a2dc7f5-a931-43e3-a047-20abc15c9edf,2116.0,upi,PayTM,1523.52,593.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1126,885b4f64-44cc-4e38-8edc-691d69327149,622.0,upi,ICICI debit card,447.84,175.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1127,dd7b8ceb-1174-41c2-abca-b662c2ba1668,2058.0,net_banking,YES BANK,1481.76,577.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1128,43cead3f-4b57-4700-86c6-d2897e3963f4,2732.0,net_banking,STATE BANK OF INDIA,1967.04,765.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1129,fe7d983a-f983-4989-8c51-3169c4549801,767.0,upi,PayTM,552.24,215.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1130,47ef2ae5-7f8d-4f28-92ec-2238f0d5b306,3184.0,credit_card,STATE BANK OF INDIA,2292.48,892.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1131,f395572c-bfbf-4757-81fd-abfed0135626,469.0,upi,BANK OF BARODA,337.68,132.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1132,927ee452-bb54-4bd2-9208-dfb47b9df91f,195.0,upi,ICICI,140.4,55.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1133,073b51f1-3795-4004-a178-0fb76c89f489,427.0,net_banking,HDFC master card,307.44,120.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
1134,86770ce7-1316-41bf-9ff4-4a2b81d0141a,2834.0,wallet,PayTM,2040.48,794.0,2024-03-11T08:44:04.842-04:00,2024-03-11T08:44:04.842-04:00
